(02/04/2020, 05:05:00) Peter_Grosso[SQLID: 721] je radi neaktivnosti izgubio posao ID 9 i 161 sati ugovora.
(02/04/2020, 05:05:00) William_Santos[SQLID: 5969] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(03/04/2020, 05:05:00) Michael_Loyd[SQLID: 384] je radi neaktivnosti izgubio posao ID 9 i 1 sati ugovora.
(04/04/2020, 05:05:00) Dexter_Edwards[SQLID: 1418] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(04/04/2020, 05:05:00) Samuel_Bones[SQLID: 5650] je radi neaktivnosti izgubio posao ID 7 i 14 sati ugovora.
(04/04/2020, 05:05:00) Calvin_Gaffney[SQLID: 5724] je radi neaktivnosti izgubio posao ID 15 i 61 sati ugovora.
(04/04/2020, 05:05:00) Dejan_Stojanov[SQLID: 5875] je radi neaktivnosti izgubio posao ID 7 i 5 sati ugovora.
(04/04/2020, 05:05:00) Tom_Philipp[SQLID: 5948] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(04/04/2020, 05:05:00) Ralph_Philipp[SQLID: 5980] je radi neaktivnosti izgubio posao ID 5 i 2 sati ugovora.
(04/04/2020, 05:05:00) Clayton_Wardell[SQLID: 5998] je radi neaktivnosti izgubio posao ID 1 i 1 sati ugovora.
(04/04/2020, 05:05:00) Paul_Kallerman[SQLID: 6001] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(04/04/2020, 05:05:00) Adam_Ramirez[SQLID: 6004] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(04/04/2020, 05:05:00) Keandra_Grays[SQLID: 6013] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(05/04/2020, 05:05:00) Arthur_Williams[SQLID: 1443] je radi neaktivnosti izgubio posao ID 7 i 88 sati ugovora.
(05/04/2020, 05:05:00) Ted_Manson[SQLID: 4759] je radi neaktivnosti izgubio posao ID 7 i 22 sati ugovora.
(05/04/2020, 05:05:00) Roger_Carroll[SQLID: 5865] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(05/04/2020, 05:05:00) Mike_Conti[SQLID: 5943] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(05/04/2020, 05:05:00) Reggie_Williams[SQLID: 5967] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(05/04/2020, 05:05:00) Romero_Garcia[SQLID: 6008] je radi neaktivnosti izgubio posao ID 15 i 2 sati ugovora.
(06/04/2020, 05:05:00) Kavion_Owens[SQLID: 366] je radi neaktivnosti izgubio posao ID 17 i 303 sati ugovora.
