
[29/04, 21:06:08] Hans_Schwammberger(178.220.212.81) je kupio biznis 14 od Vladan_Vukasinovic(109.93.196.3) za 50000$
[29/04, 21:43:14] Blazo_Ivanovic je kupio biznis 15($80000) (79.140.150.15).
[30/04, 17:15:47] Rene_Strauss je kupio biznis 125($2) (95.168.121.40).
[30/04, 21:45:40] Karen_Moore(92.55.122.136) je kupio biznis 15 od Blazo_Ivanovic(79.140.150.18) za 90000$
[30/04, 22:08:23] Blazo_Ivanovic je kupio biznis 84($50000) (79.140.150.18).
[30/04, 22:42:38] Milos_Damjanovic(77.78.229.144) je kupio biznis 31 od Joe_Cresswell(46.5.231.33) za 38000$
[01/05, 00:16:58] Allan_Houston(46.234.93.168) je kupio biznis 85 od Michael_Blake(109.92.148.7) za 160000$
[01/05, 15:42:51] Declan_Adolfo je kupio biznis 126($30000) (93.141.71.71).
[01/05, 23:35:51] Lena_Sharapova(109.93.74.80) je kupio biznis 118 od Muhammad_Isaev(109.93.74.80) za 31500$
[02/05, 12:49:55] William_Alessandrini je kupio biznis 52($30000) (90.134.212.148).
[02/05, 21:35:19] Noah_Williams(77.216.183.90) je kupio biznis 84 od Blazo_Ivanovic(79.140.150.11) za 90000$
[02/05, 22:31:55] Luis_Bacamo(95.155.4.37) je kupio biznis 99 od Giuseppe_Manna(212.200.33.95) za 40000$
[02/05, 23:14:22] Joe_Cresswell je kupio biznis 74($50000) (46.5.231.241).
[03/05, 01:46:45] Travis_Palmer je kupio biznis 85($100000) (109.175.105.209).
[03/05, 01:55:35] Travis_Palmer je kupio biznis 85($1) (109.175.105.209).
[03/05, 06:47:15] Cory_Zimmermann je kupio biznis 62($50000) (85.94.109.42).
[03/05, 13:49:24] Vitaly_Mikhailov je kupio biznis 90($30000) (95.155.49.197).
[03/05, 19:01:25] John_Mangano(178.79.1.250) je kupio biznis 85 od Travis_Palmer(109.175.104.35) za 90000$
[03/05, 20:48:31] Marko_Savic je kupio biznis 99($20000) (95.155.4.37).
[03/05, 20:49:38] Allan_Houston je kupio biznis 85($100000) (46.234.93.253).
[03/05, 21:53:55] Clyde_Loyd(77.78.234.122) je kupio biznis 100 od Donald_Andretta(93.142.128.6) za 47500$
[04/05, 14:57:25] Anthony_Vendetti je kupio biznis 105($25000) (31.47.26.40).
[04/05, 20:43:12] William_Jones(95.155.4.37) je kupio biznis 92 od Aleksander_Zaitsev(5.133.138.38) za 45000$
[04/05, 21:18:57] Aleksander_Zaitsev je kupio biznis 107($85000) (5.133.138.38).
[04/05, 22:07:58] Goran_Milojevic(176.104.111.86) je kupio biznis 121 od Zarko_Novakovic(85.94.127.55) za 21000$
[04/05, 23:38:54] Lester_McCormick je kupio biznis 27($45000) (188.127.97.40).
[05/05, 04:24:52] Dania_Barton je kupio biznis 125($2) (77.77.216.19).
[05/05, 14:21:04] Keith_Sanders je kupio biznis 127($30000) (93.143.246.144).
[05/05, 15:10:17] Shane_Thompson(93.141.71.71) je kupio biznis 40 od Vladimir_Molotov(46.35.150.194) za 21000$
[05/05, 18:42:36] Edgar_Hicks je kupio biznis 99($1) (95.156.141.201).
[06/05, 10:54:41] John_Mangano je kupio biznis 85($1) (178.79.1.250).
[07/05, 14:45:22] Ioannis_Valiakos(188.120.118.61) je kupio biznis 120 od Goran_Milojevic(176.104.111.86) za 21000$
[08/05, 00:19:32] Blazo_Ivanovic(79.140.150.76) je kupio biznis 117 od Richard_Kennedy(109.94.97.184) za 90000$
[08/05, 21:17:32] Butch_Caldwell(95.223.72.125) je kupio biznis 81 od Viktor_Noukhayev(5.133.148.53) za 35000$
[09/05, 15:25:44] Alan_Huang je kupio biznis 82($90000) (89.111.215.48).
[10/05, 13:33:12] Butch_Caldwell je kupio biznis 81($1) (95.223.72.125).
[10/05, 21:49:04] Vladan_Vukasinovic je kupio biznis 36($35000) (109.93.191.183).
[10/05, 21:55:38] Gerardo_Zetas(87.116.179.108) je kupio biznis 11 od Velichko_Mitevski(109.93.191.53) za 7000$
[10/05, 22:58:04] Valko_Spasov(109.93.191.53) je kupio biznis 104 od Boris_Noukhayev(37.203.90.52) za 60000$
[11/05, 17:18:54] Edward_Meikle je kupio biznis 17($25000) (109.175.107.9).
[11/05, 22:57:13] Travis_Palmer je kupio biznis 33($35000) (109.175.107.9).
[11/05, 22:58:24] Travis_Palmer je kupio biznis 17($25000) (109.175.107.9).
[11/05, 23:43:46] Viktor_Noukhayev je kupio biznis 59($35000) (46.35.151.45).
[11/05, 23:44:28] Raymond_Washington(62.240.24.70) je kupio biznis 103 od Valko_Spasov(109.93.191.53) za 66000$
[11/05, 23:54:01] Valko_Spasov je kupio biznis 126($25000) (109.93.191.53).
[11/05, 23:56:48] Raymond_Washington je kupio biznis 126($25000) (62.240.24.70).
[12/05, 00:13:53] Nicholas_Lanzetta je kupio biznis 112($30000) (109.175.97.15).
[12/05, 13:56:59] Boris_Noukhayev je kupio biznis 43($35000) (31.176.220.116).
[12/05, 23:54:23] Vladimir_Molotov(85.94.142.194) je kupio biznis 89 od Cordell_Watkins(95.155.49.197) za 20000$
[13/05, 00:09:05] Terry_Williams je kupio biznis 74($50000) (178.221.240.68).
[13/05, 18:53:34] Terry_Williams je kupio biznis 75($50000) (178.221.240.68).
[13/05, 20:29:34] Raymond_Washington je kupio biznis 110($1) (62.240.24.70).
[13/05, 20:30:42] Vladimir_Molotov je kupio biznis 95($1) (85.94.153.213).
[13/05, 20:32:51] Aleksander_Zaitsev je kupio biznis 113($1) (5.133.134.209).
[13/05, 20:46:09] Karen_Moore je kupio biznis 15($1) (92.55.122.47).
[13/05, 22:44:23] Winchester_Tillman je kupio biznis 26($25000) (45.131.119.2).
[13/05, 22:53:07] Alan_Huang je kupio biznis 87($1) (89.111.215.48).
[13/05, 23:25:49] Lester_McCormick je kupio biznis 27($45000) (188.127.97.40).
[13/05, 23:28:25] John_Mangano je kupio biznis 90($0) (178.79.1.250).
[13/05, 23:31:13] Rene_Strauss je kupio biznis 119($1) (95.168.121.52).
[13/05, 23:33:49] Blazo_Ivanovic je kupio biznis 127($1) (79.140.150.122).
[14/05, 00:25:06] Aleksa_Todorovic je kupio biznis 16($1) (87.123.203.254).
[14/05, 11:18:19] Jacob_Anderson je kupio biznis 123($20000) (77.77.217.19).
[14/05, 15:15:44] Elliott_Loyd je kupio biznis 31($1) (77.78.229.144).
[14/05, 21:31:37] Viktor_Noukhayev je kupio biznis 60($1) (85.94.141.111).
[14/05, 21:39:58] Hans_Schwammberger je kupio biznis 14($1) (178.221.185.89).
[14/05, 22:34:11] Noah_Williams je kupio biznis 89($1) (77.216.183.90).
[15/05, 00:25:31] Hristo_Nikolov je kupio biznis 63($1) (85.94.109.42).
[15/05, 00:40:40] Craig_Moore je kupio biznis 40($1) (93.141.71.71).
[15/05, 19:08:01] Samuel_Lewis je kupio biznis 120($20000) (62.4.55.64).
[17/05, 18:35:59] Christina_Anderson(93.86.111.119) je kupio biznis 104 od Raymond_Lazzeri(5.43.70.3) za 1$
[18/05, 01:03:15] Boris_Noukhayev je kupio biznis 30($30000) (31.176.222.4).
[19/05, 00:33:15] Anthony_Vendetti je kupio biznis 111($1) (31.47.26.40).
[19/05, 22:40:32] Matt_Loyd je kupio biznis 93($1) (92.36.150.98).
[21/05, 21:56:47] Milos_Popovic(37.122.166.193) je kupio biznis 26 od Maksim_Malovic(45.131.119.2) za 1$
[21/05, 21:58:25] Maksim_Malovic je kupio biznis 11($50000) (45.131.119.2).
[22/05, 19:42:21] Boris_Ivanov je kupio biznis 81($50000) (93.140.75.174).
[25/05, 20:12:51] Stephen_Frye je kupio biznis 129($30000) (93.141.11.36).
[25/05, 20:26:49] Mauricio_Manzano je kupio biznis 130($30000) (178.79.52.1).
[26/05, 00:43:29] Bojko_Dadic() je kupio biznis 27 od Lester_McCormick(188.127.107.44) za 30000$
[26/05, 00:59:14] Lester_McCormick je kupio biznis 43($35000) (188.127.107.44).
[26/05, 17:19:01] Christina_Anderson je kupio biznis 131($100000) (93.86.214.87).
[26/05, 22:59:00] Kenneth_Nelson je kupio biznis 109($25000) (80.80.34.2).
[26/05, 23:23:46] William_Nithercott je kupio biznis 133($1) (188.120.118.212).
[27/05, 22:21:24] Donald_Nixon je kupio biznis 132($1) (178.220.54.222).
[28/05, 11:07:43] Charlie_Sullivan(77.77.216.115) je kupio biznis 107 od Kenneth_Nelson(80.80.34.2) za 500$
[28/05, 11:09:43] Kenneth_Nelson je kupio biznis 20($45000) (80.80.34.2).
[28/05, 15:55:55] Daniel_Volkov je kupio biznis 130($30000) (31.223.139.251).
[28/05, 22:18:43] Igor_Kostic je kupio biznis 62($20000) (178.221.153.32).
[31/05, 00:54:08] Bob_Winchester je kupio biznis 17($25000) (87.116.176.50).
[02/06, 21:07:06] William_Nithercott je kupio biznis 133($25000) (77.243.28.235).
[03/06, 23:12:04] Ryuzaki_Kansuke je kupio biznis 102($10000) (185.10.142.14).
[03/06, 23:17:56] Ryuzaki_Kansuke je kupio biznis 102($1) (185.10.142.14).
[04/06, 01:11:20] Fawziyya_Khawaja je kupio biznis 134($25000) (185.38.147.202).
[04/06, 10:03:45] Alonzo_Ward je kupio biznis 89($25000) (109.93.195.155).
[05/06, 16:54:58] Ivan_Tigrov je kupio biznis 118($50000) (93.141.34.89).
[07/06, 00:18:40] Liam_Hao je kupio biznis 130($30000) (31.47.31.184).
[16/06, 22:16:14] Raul_Flores je kupio biznis 103($40000) (178.149.208.137).
[17/06, 17:19:55] Elena_Stoneberg je kupio biznis 133($25000) (89.111.246.90).
[17/06, 20:54:06] Elena_Stoneberg je kupio biznis 133($25000) (89.111.246.90).
[18/06, 00:58:11] Thomas_Day je kupio biznis 97($20000) (93.141.35.212).
[21/06, 16:55:56] Corrado_Biviano(178.220.220.22) je kupio biznis 58 od Sado_Sahovic(85.94.141.208) za 43000$
[24/06, 00:26:33] Ibrahimi_Kastrati je kupio biznis 77($25000) (91.150.118.190).
[24/06, 16:23:55] Buck_Finn je kupio biznis 50($35000) (37.208.35.17).
[25/06, 16:43:07] Thomas_Day je kupio biznis 133($30000) (93.141.35.212).
[25/06, 16:47:15] Midhat_Spaho je kupio biznis 133($30000) (37.203.100.33).
[25/06, 22:57:20] Sado_Sahovic je kupio biznis 115($10) (5.133.148.217).
[28/06, 22:05:14] Bella_Gambiroza(62.240.25.62) je kupio biznis 115 od Sado_Sahovic(5.133.140.75) za 45000$
[28/06, 22:23:13] Sado_Sahovic je kupio biznis 82($30000) (5.133.140.75).
[02/07, 19:05:34] Conor_Lyons je kupio biznis 53($50000) (178.149.208.137).
[08/07, 17:20:15] Robert_Doherty(109.92.144.169) je kupio biznis 32 od Thomas_McDowell(109.175.96.137) za 30000$
[08/07, 17:23:51] Thomas_McDowell je kupio biznis 92($1) (109.175.96.137).
[08/07, 21:40:11] Nikolaj_Zajcev je kupio biznis 132($50000) (89.201.233.152).
[15/07, 17:06:23] Leon_Briggs je kupio biznis 118($20000) (109.93.191.49).
[18/07, 23:57:54] Elliot_Richards je kupio biznis 13($30000) (178.220.164.97).
[19/07, 01:25:32] Lorenzzo_Navarra je kupio biznis 103($40000) (109.175.101.70).
[23/07, 20:41:02] Sophie_Wallace(109.245.175.243) je kupio biznis 16 od Adrian_Campbell(88.130.59.153) za 25000$
[25/07, 02:07:07] Thomas_McDowell je kupio biznis 92($1) (109.175.96.24).
[25/07, 02:20:23] Bonifacie_Gambiroza je kupio biznis 29($50000) (178.209.5.85).
[25/07, 02:46:36] Bonifacie_Gambiroza je kupio biznis 29($1) (178.209.5.85).
[26/07, 02:07:22] Adrian_Campbell je kupio biznis 88($0) (88.130.59.76).
[26/07, 20:24:58] Carlos_Martinez je kupio biznis 8($30000) (62.4.55.105).
[30/07, 22:16:21] Noah_Williams(77.216.171.18) je kupio biznis 89 od Javier_Toro(109.93.191.3) za 85000$
[31/07, 00:13:15] Miguel_Moyano je kupio biznis 134($25000) (109.245.127.158).
[01/08, 16:07:02] James_Kyle je kupio biznis 99($50000) (37.208.35.17).
[01/08, 18:06:29] Anna_Suarez je kupio biznis 118($20000) (77.77.216.26).
[04/08, 14:44:29] Anna_Suarez je kupio biznis 63($30000) (77.77.216.118).
[06/08, 15:31:21] Lorenzo_Bonelli je kupio biznis 34($20000) (109.93.195.5).
[07/08, 22:09:30] Edward_Cooper je kupio biznis 125($100000) (45.82.91.62).
[10/08, 17:04:41] Stefan_Vladimirov je kupio biznis 91($200000) (31.223.140.167).
[13/08, 01:11:45] Caleb_Gongsun je kupio biznis 132($25000) (83.178.250.219).
[13/08, 20:58:47] Vladimir_Abramovich je kupio biznis 100($35000) (93.87.143.45).
[17/08, 23:01:15] Deveron_Hodges je kupio biznis 15($80000) (92.55.122.184).
[20/08, 21:03:48] Deveron_Hodges je kupio biznis 15($80000) (92.55.122.127).
[20/08, 21:39:18] Velichko_Mitevski je kupio biznis 124($30000) (109.93.195.178).
[21/08, 20:58:54] Deveron_Hodges je kupio biznis 15($80000) (92.55.122.227).
[23/08, 20:04:31] Zyrell_Haynes(82.118.11.22) je kupio biznis 16 od Jessica_Cooper(109.245.111.197) za 20000$
[23/08, 20:07:16] Jessica_Cooper(109.245.111.197) je kupio biznis 125 od Edward_Cooper(45.82.91.62) za 1$
[23/08, 20:55:13] Victor_Grant je kupio biznis 53($50000) (178.79.16.103).
[24/08, 00:51:15] Deveron_Hodges je kupio biznis 15($80000) (92.55.122.240).
[24/08, 23:10:47] Richard_Hoyle je kupio biznis 102($20000) (94.189.238.62).
[25/08, 23:08:28] Daniel_Williamson je kupio biznis 87($90000) (109.92.67.209).
[25/08, 23:10:44] Richard_Hoyle je kupio biznis 12($30000) (94.189.238.62).
[26/08, 14:56:18] Daniel_Williamson je kupio biznis 87($90000) (109.92.67.209).
[26/08, 20:37:55] Baggy_Britches je kupio biznis 117($20000) (89.216.162.139).
[26/08, 23:08:05] Martin_Kassaev je kupio biznis 20($45000) (109.175.96.122).
[27/08, 00:23:53] Michael_Valenza je kupio biznis 115($20000) (95.178.184.166).
[27/08, 14:49:20] Mickey_Yanlin je kupio biznis 132($25000) (89.146.142.193).
[27/08, 22:39:38] Tom_Barnaby je kupio biznis 11($50000) (91.191.51.242).
[28/08, 00:27:55] Evelyn_Casey je kupio biznis 135($0) (89.246.122.26).
[28/08, 00:33:29] Lamont_Powell je kupio biznis 135($35000) (109.92.86.14).
[28/08, 13:16:37] Conor_Lyons je kupio biznis 53($50000) (178.149.86.44).
