
[06/04/2020] AdmCMD: darwin je novcano kaznio igraca Adam_Smith sa $130000, razlog: ribar
[06/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Fawziyya_Khawaja sa $2500, razlog: .
[07/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Jonathan_Reynolds sa $300, razlog: IC
[07/04/2020] AdmCMD: tacZo je novcano kaznio igraca Dante_Rossi sa $250, razlog: IC
[07/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Fawziyya_Khawaja sa $36199, razlog: .
[07/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Fawziyya_Khawaja sa $23000000, razlog: .
[08/04/2020] AdmCMD: Riviera je novcano kaznio igraca Roy_Helms sa $35000, razlog: .
[11/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Davor_Simovic sa $1800000, razlog: .
[11/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Brandon_Pollard sa $300, razlog: IC
[11/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Terrel_Cooper sa $4000, razlog: IC
[11/04/2020] AdmCMD: Runner je novcano kaznio igraca Niksa_Tadic sa $5400, razlog: .
[11/04/2020] AdmCMD: Runner je novcano kaznio igraca Niksa_Tadic sa $75, razlog: .
[11/04/2020] AdmCMD: Runner je novcano kaznio igraca Niksa_Tadic sa $9625, razlog: .
[11/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Aaron_Schaffner sa $16000, razlog: IC
[11/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Dakari_Mercer sa $150, razlog: IC
[12/04/2020] AdmCMD: tacZo je novcano kaznio igraca Jeff_Sheng sa $250, razlog: IC
[13/04/2020] AdmCMD: darwin je novcano kaznio igraca Julian_Holland sa $15000, razlog: .
[13/04/2020] AdmCMD: tacZo je novcano kaznio igraca Richard_Myers sa $300, razlog: IC
[13/04/2020] AdmCMD: Runner je novcano kaznio igraca Niksa_Tadic sa $50, razlog: .
[13/04/2020] AdmCMD: Runner je novcano kaznio igraca Niksa_Tadic sa $50000, razlog: .
[14/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Miguel_Scott sa $300, razlog: IC
[14/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Barbaro_Maynard sa $3000, razlog: IC
