
[19/03/2020] George_Conley je dobio kick od Admina iWay, razlog: epp
[19/03/2020] Hristo_Zhelyaskov je dobio kick od Admina tacZo, razlog: na zahtjev
[19/03/2020] Richard_Peterson je dobio kick od Admina iWay, razlog: /pm
[19/03/2020] Edward_Fugle je dobio kick od Admina Brent, razlog: Relog
[19/03/2020] Edward_Fugle je dobio kick od Admina Brent, razlog: /ad
[20/03/2020] Logan_Watson je dobio kick od Admina iWay, razlog: epp
[20/03/2020] Carl_Sanders je dobio kick od Admina BrownNN, razlog: Relog
[20/03/2020] Carl_Sanders je dobio kick od Admina tacZo, razlog: na zahtjev
[20/03/2020] Armando_Alvarado je dobio kick od Admina Brent, razlog: /ad
[20/03/2020] Lincoln_Burrows je dobio kick od Admina tacZo, razlog: nonrp_vonja
[20/03/2020] Lincoln_Burrows je dobio kick od Admina tacZo, razlog: Nickname
[20/03/2020] Wayne_Middleton je dobio kick od Admina K3r1m, razlog: EPP
[20/03/2020] Juan_Mikele je dobio kick od Admina Pop911, razlog: /pm
[20/03/2020] Hristo_Zhelyaskov je dobio kick od Admina tacZo, razlog: report
[20/03/2020] Vladimir_Alekperov je dobio kick od Admina Brent, razlog: Relog
[20/03/2020] Vladimir_Alekperov je dobio kick od Admina Brent, razlog: nonRP
[21/03/2020] Mike_Scorp je dobio kick od Admina BrownNN, razlog: /pm
[21/03/2020] Carl_Sanders je dobio kick od Admina tacZo, razlog: epp
[21/03/2020] Rodrigo_Fonscea je dobio kick od Admina Brent, razlog: /report
[21/03/2020] Rodrigo_Fonscea je dobio kick od Admina Khawaja, razlog: Moze.
[21/03/2020] Rodrigo_Fonscea je dobio kick od Admina Khawaja, razlog: spamming /report
[21/03/2020] Dominick_Lanza je dobio kick od Admina Floppy, razlog: 2. upozorenje
[22/03/2020] Lucas_Garrido je dobio kick od Admina Brent, razlog: Relog
[22/03/2020] Wayne_Middleton je dobio kick od Admina Brent, razlog: Troll
[22/03/2020] Rodrigo_Fonscea je dobio kick od Admina Khawaja, razlog: nonsense /report
[22/03/2020] Xiang_Juntao je dobio kick od Admina Pop911, razlog: /pm
[22/03/2020] Shannon_Yard je dobio kick od Admina Brent, razlog: Na zahtjev.
[22/03/2020] Ortega_Huerta je dobio kick od Admina Brent, razlog: OOC
[22/03/2020] Albin_Negrete je dobio kick od Admina tacZo, razlog: ooc
[22/03/2020] Gabriella_Mendosa je dobio kick od Admina darwin, razlog: meduza
[23/03/2020] Anna_Rose je dobio kick od Admina iWay, razlog: afk
[23/03/2020] Quinn_Hudson je dobio kick od Admina Pop911, razlog: .
[23/03/2020] Vondel_Joyner je dobio kick od Admina Khawaja, razlog: Lier.
[23/03/2020] Ortega_Huerta je dobio kick od Admina Khawaja, razlog: Troll_pm
[23/03/2020] Jack_Apps je dobio kick od Admina tacZo, razlog: /pm
[24/03/2020] Raynold_Leblanc je dobio kick od Admina BrownNN, razlog: Relog_EPP
[24/03/2020] Rakeem_Bell je dobio kick od Admina iWay, razlog: /b
[24/03/2020] Mike_Scorp je dobio kick od Admina iWay, razlog: /pm
[24/03/2020] Allison_Cottrell je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Wendall_Snipes je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Pierre_Delince je dobio kick od Admina Cruella., razlog: BMX
[24/03/2020] John_Harding je dobio kick od Admina Cruella., razlog: GMX <3
[24/03/2020] Anna_McAdams je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Lucas_Garrido je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Danijel_Karasicevic je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Alicia_Macious je dobio kick od Admina Cruella., razlog: GMx
[24/03/2020] Danny_Ward je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Igor_Lavrov je dobio kick od Admina Cruella., razlog: GMX
[24/03/2020] Sebastian_Ayala je dobio kick od Admina Khawaja, razlog: nonsense_report
[24/03/2020] Alejandro_Martinez je dobio kick od Admina Brent, razlog: /f
[24/03/2020] Louis_Bennett je dobio kick od Admina Brent, razlog: /f
[24/03/2020] Sebastian_Ayala je dobio kick od Admina Brent, razlog: Opomena
[24/03/2020] Ed_Philipp je dobio kick od Admina BrownNN, razlog: Spam_Report
[24/03/2020] Ralph_Philipp je dobio kick od Admina BrownNN, razlog: Spam_Report
[24/03/2020] Parnell_Octave je dobio kick od Admina BrownNN, razlog: Relog
[24/03/2020] Cesar_Caro je dobio kick od Admina Floppy, razlog: epp
[24/03/2020] Louis_Bennett je dobio kick od Admina Cruella., razlog: /f
[25/03/2020] Brian_Mcduffie je dobio kick od Admina iWay, razlog: /pm
[25/03/2020] George_Shaw je dobio kick od Admina Pop911, razlog: Na zahtev.
[25/03/2020] George_Shaw je dobio kick od Admina Floppy, razlog: na zahtjev
[25/03/2020] Shannon_Yard je dobio kick od Admina Khawaja, razlog: .
[25/03/2020] Leonard_Burkhart je dobio kick od Admina BrownNN, razlog: /ad
[25/03/2020] Antonella_Martelli je dobio kick od Admina Brent, razlog: Na zahtjev.
[25/03/2020] Terrance_Hayes je dobio kick od Admina Khawaja, razlog: caps_report
[25/03/2020] Allison_Cottrell je dobio kick od Admina Brent, razlog: /ad
[25/03/2020] Simon_Dave je dobio kick od Admina K3r1m, razlog: /f
[26/03/2020] Travis_Bennet je dobio kick od Admina iWay, razlog: kratak/ad_bre!
[26/03/2020] Anna_McAdams je dobio kick od Admina BrownNN, razlog: Relog_EPP
