(21/04/2020, 21:11:25) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(21/04/2020, 21:12:12) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(22/04/2020, 02:45:08) Mile_Raonic[SQL:285] je uzeo Desert Eagle(30) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 03:04:09) Igor_Kostic[SQL:561] je uzeo TEC9(30) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 03:57:20) Igor_Kostic[SQL:561] je uzeo 100$ iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 15:03:06) Mile_Raonic[SQL:285] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 18:14:47) Mile_Raonic[SQL:285] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 19:28:34) Igor_Kostic[SQL:561] je uzeo TEC9(30) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 19:28:40) Igor_Kostic[SQL:561] je uzeo TEC9(30) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 22:16:05) Mile_Raonic[SQL:285] je uzeo M4(50) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 22:16:46) Mile_Raonic[SQL:285] je uzeo M4(50) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 22:17:58) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(22/04/2020, 22:18:47) Mile_Raonic[SQL:285] je uzeo Shotgun(30) iz Warehousea Klan Amerika[SQL:9].
(23/04/2020, 21:37:00) Igor_Kostic[SQL:561] je uzeo AK47(19) iz Warehousea Klan Amerika[SQL:9].
(23/04/2020, 22:41:56) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(23/04/2020, 22:41:58) Vukota_Saranovic[SQL:5953] je uzeo (0) iz Warehousea Skaljarski klan[SQL:7].
(23/04/2020, 23:12:36) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(24/04/2020, 17:52:56) Vukota_Saranovic[SQL:5953] je uzeo M4(50) iz Warehousea Skaljarski klan[SQL:7].
(24/04/2020, 17:53:22) Vukota_Saranovic[SQL:5953] je uzeo 70$ iz Warehousea Skaljarski klan[SQL:7].
(25/04/2020, 01:19:52) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(25/04/2020, 01:20:01) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(25/04/2020, 01:20:19) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(25/04/2020, 02:35:01) Vukota_Saranovic[SQL:5953] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(26/04/2020, 00:21:00) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(26/04/2020, 00:21:03) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(26/04/2020, 03:53:40) Vukota_Saranovic[SQL:5953] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(26/04/2020, 12:25:14) Igor_Kostic[SQL:561] je uzeo AK47(30) iz Warehousea Klan Amerika[SQL:9].
(26/04/2020, 12:25:33) Igor_Kostic[SQL:561] je uzeo AK47(19) iz Warehousea Klan Amerika[SQL:9].
(27/04/2020, 00:37:06) Vukota_Saranovic[SQL:5953] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:37:27) Vukota_Saranovic[SQL:5953] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:38:50) Vukota_Saranovic[SQL:5953] je uzeo M4(50) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:39:43) Vukota_Saranovic[SQL:5953] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:41:00) Vukota_Saranovic[SQL:5953] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:42:10) Vukota_Saranovic[SQL:5953] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:44:21) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 00:45:02) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(27/04/2020, 13:34:25) Mile_Raonic[SQL:285] je uzeo 1$ iz Warehousea Klan Amerika[SQL:9].
(27/04/2020, 20:22:19) Igor_Kostic[SQL:561] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(28/04/2020, 13:40:13) Igor_Kostic[SQL:561] je uzeo 3000$ iz Warehousea Klan Amerika[SQL:9].
(28/04/2020, 14:23:47) Igor_Kostic[SQL:561] je uzeo 2500$ iz Warehousea Klan Amerika[SQL:9].
(28/04/2020, 14:25:02) Igor_Kostic[SQL:561] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(28/04/2020, 20:20:07) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(29/04/2020, 13:12:43) Igor_Kostic[SQL:561] je uzeo Desert Eagle(49) iz Warehousea Klan Amerika[SQL:9].
(29/04/2020, 15:21:28) Igor_Kostic[SQL:561] je uzeo Desert Eagle(42) iz Warehousea Klan Amerika[SQL:9].
(29/04/2020, 18:27:47) Mile_Raonic[SQL:285] je uzeo AK47(30) iz Warehousea Klan Amerika[SQL:9].
(29/04/2020, 18:27:54) Mile_Raonic[SQL:285] je uzeo AK47(20) iz Warehousea Klan Amerika[SQL:9].
(29/04/2020, 20:26:26) Igor_Kostic[SQL:561] je uzeo Desert Eagle(41) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:05:18) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:05:22) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:06:24) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:07:46) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:07:49) Ljubomir_Milovanovic[SQL:785] je uzeo (0) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:07:54) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 00:14:06) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 12:36:37) Mile_Raonic[SQL:285] je uzeo M4(80) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 14:22:02) Mile_Raonic[SQL:285] je uzeo M4(70) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 14:22:35) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 14:23:29) Mile_Raonic[SQL:285] je uzeo AK47(50) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 14:24:02) Mile_Raonic[SQL:285] je uzeo AK47(30) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 14:26:48) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 20:17:00) Mile_Raonic[SQL:285] je uzeo M4(77) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 20:17:44) Mile_Raonic[SQL:285] je uzeo M4(70) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 20:18:22) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 20:18:54) Mile_Raonic[SQL:285] je uzeo AK47(75) iz Warehousea Klan Amerika[SQL:9].
(30/04/2020, 20:27:04) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(01/05/2020, 17:06:37) Ljubomir_Milovanovic[SQL:785] je uzeo M4(80) iz Warehousea Klan Amerika[SQL:9].
(01/05/2020, 17:07:06) Ljubomir_Milovanovic[SQL:785] je uzeo M4(80) iz Warehousea Klan Amerika[SQL:9].
(01/05/2020, 17:07:08) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(01/05/2020, 22:48:26) Igor_Kostic[SQL:561] je uzeo Molotov Cocktail(2) iz Warehousea Klan Amerika[SQL:9].
(01/05/2020, 22:48:29) Igor_Kostic[SQL:561] je uzeo Silenced Pistol(20) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 12:53:57) Igor_Kostic[SQL:561] je uzeo Desert Eagle(37) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 12:54:05) Igor_Kostic[SQL:561] je uzeo 324$ iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 14:59:57) Mile_Raonic[SQL:285] je uzeo 500$ iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 21:32:37) Igor_Kostic[SQL:561] je uzeo AK47(75) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 21:46:47) Igor_Kostic[SQL:561] je uzeo Desert Eagle(86) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 23:11:38) Mile_Raonic[SQL:285] je uzeo AK47(75) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 23:12:30) Mile_Raonic[SQL:285] je uzeo MP5(60) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 23:13:06) Mile_Raonic[SQL:285] je uzeo TEC9(50) iz Warehousea Klan Amerika[SQL:9].
(03/05/2020, 23:13:55) Mile_Raonic[SQL:285] je uzeo Colt 45(15) iz Warehousea Klan Amerika[SQL:9].
(04/05/2020, 00:22:34) Roy_Helms[SQL:1013] je uzeo Desert Eagle(25) iz Warehousea COORS Family Skins[SQL:11].
(04/05/2020, 00:23:37) Roy_Helms[SQL:1013] je uzeo Desert Eagle(25) iz Warehousea COORS Family Skins[SQL:11].
