
[17/05, 00:43:10] John_Mangano je obrisao vozilo iz baze (MODEL: 506 | VEHID: 318 | SQLID: 4803)
[18/05, 10:46:57] Sam_Bowers je obrisao vozilo iz baze (MODEL: 462 | VEHID: 321 | SQLID: 3188)
[19/05, 23:56:12] Gabriel_Hopwood je obrisao vozilo iz baze (MODEL: 531 | VEHID: 351 | SQLID: 3915)
[20/05, 22:13:15] Dazzline_Burton je obrisao vozilo iz baze (MODEL: 496 | VEHID: 327 | SQLID: 3406)
[23/05, 21:00:07] Sam_Bowers je obrisao vozilo iz baze (MODEL: 509 | VEHID: 320 | SQLID: 3871)
[29/05, 22:34:34] Demetrius_Innes je obrisao vozilo iz baze (MODEL: 481 | VEHID: 336 | SQLID: 736)
[31/05, 04:37:01] Larry_Dickens je obrisao vozilo iz baze (MODEL: 415 | VEHID: 319 | SQLID: 4978)
[04/06, 19:24:47] Larry_Dickens je obrisao vozilo iz baze (MODEL: 478 | VEHID: 334 | SQLID: 4984)
[15/06, 17:37:23] Carrie_Brockman je obrisao vozilo iz baze (MODEL: 566 | VEHID: 331 | SQLID: 3799)
[15/06, 18:57:02] Tyrie_Gramont je obrisao vozilo iz baze (MODEL: 543 | VEHID: 338 | SQLID: 3837)
[15/06, 20:35:38] Demetrius_Innes je obrisao vozilo iz baze (MODEL: 609 | VEHID: 337 | SQLID: 4960)
[17/06, 18:01:13] Demetrius_Innes je obrisao vozilo iz baze (MODEL: 468 | VEHID: 333 | SQLID: 4677)
[17/06, 20:34:15] Tony_Parker je obrisao vozilo iz baze (MODEL: 551 | VEHID: 334 | SQLID: 4245)
[23/06, 01:40:29] Ishiwari_Yori je obrisao vozilo iz baze (MODEL: 470 | VEHID: 338 | SQLID: 2044)
[26/06, 13:55:35] Dylan_Torres je obrisao vozilo iz baze (MODEL: 481 | VEHID: 333 | SQLID: 5077)
[28/06, 12:44:41] Giuseppe_Agostini je obrisao vozilo iz baze (MODEL: 510 | VEHID: 329 | SQLID: 4903)
[08/07, 08:32:52] Alonzo_Ward je obrisao vozilo iz baze (MODEL: 481 | VEHID: 329 | SQLID: 3857)
[08/07, 13:17:04] Sophie_Wallace je obrisao vozilo iz baze (MODEL: 510 | VEHID: 332 | SQLID: 5142)
[09/07, 00:58:53] Zhiqiang_Uchiyama je obrisao vozilo iz baze (MODEL: 532 | VEHID: 341 | SQLID: 5150)
[10/07, 00:11:47] Conor_Lyons je obrisao vozilo iz baze (MODEL: 525 | VEHID: 356 | SQLID: 4315)
[17/07, 13:49:41] Danio_Squilace je obrisao vozilo iz baze (MODEL: 542 | VEHID: 333 | SQLID: 2578)
[17/07, 13:50:07] Danio_Squilace je obrisao vozilo iz baze (MODEL: 471 | VEHID: 333 | SQLID: 3392)
[26/07, 00:12:02] Zyrell_Haynes je obrisao vozilo iz baze (MODEL: 400 | VEHID: 314 | SQLID: 5218)
[28/07, 16:28:34] Jason_Franklin je obrisao vozilo iz baze (MODEL: 400 | VEHID: 319 | SQLID: 5217)
[24/08, 22:46:40] Johnny_Suarez je obrisao vozilo iz baze (MODEL: 509 | VEHID: 319 | SQLID: 5293)
